NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,1020,Unidades,100,1,Brasil,630,Número de empresas,2021,2021,117014,"16.29-3 Fabricação de artefatos de madeira, palha, cortiça, vime e material trançado não especificados anteriormente, exceto móveis"
1,Brasil,1020,Unidades,787,1,Brasil,630,Número de empresas,2021,2021,117015,"17 Fabricação de celulose, papel e produtos de papel"
1,Brasil,1020,Unidades,12,1,Brasil,630,Número de empresas,2021,2021,117016,17.1 Fabricação de celulose e outras pastas para a fabricação de papel
1,Brasil,1020,Unidades,12,1,Brasil,630,Número de empresas,2021,2021,117017,17.10-9 Fabricação de celulose e outras pastas para a fabricação de papel
1,Brasil,1020,Unidades,115,1,Brasil,630,Número de empresas,2021,2021,117018,"17.2 Fabricação de papel, cartolina e papel-cartão"
1,Brasil,1020,Unidades,85,1,Brasil,630,Número de empresas,2021,2021,117019,17.21-4 Fabricação de papel
1,Brasil,1020,Unidades,30,1,Brasil,630,Número de empresas,2021,2021,117020,17.22-2 Fabricação de cartolina e papel-cartão
1,Brasil,1020,Unidades,377,1,Brasil,630,Número de empresas,2021,2021,117021,"17.3 Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
1,Brasil,1020,Unidades,133,1,Brasil,630,Número de empresas,2021,2021,117022,17.31-1 Fabricação de embalagens de papel
1,Brasil,1020,Unidades,69,1,Brasil,630,Número de empresas,2021,2021,117023,17.32-0 Fabricação de embalagens de cartolina e papel-cartão
1,Brasil,1020,Unidades,175,1,Brasil,630,Número de empresas,2021,2021,117024,17.33-8 Fabricação de chapas e de embalagens de papelão ondulado
1,Brasil,1020,Unidades,283,1,Brasil,630,Número de empresas,2021,2021,117025,"17.4 Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
1,Brasil,1020,Unidades,117,1,Brasil,630,Número de empresas,2021,2021,117026,"17.41-9 Fabricação de produtos de papel, cartolina, papel-cartão e papelão ondulado para uso comercial e de escritório"
1,Brasil,1020,Unidades,114,1,Brasil,630,Número de empresas,2021,2021,117027,17.42-7 Fabricação de produtos de papel para usos doméstico e higiênico-sanitário
1,Brasil,1020,Unidades,52,1,Brasil,630,Número de empresas,2021,2021,117028,"17.49-4 Fabricação de produtos de pastas celulósicas, papel, cartolina, papel-cartão e papelão ondulado não especificados anteriormente"
1,Brasil,1020,Unidades,400,1,Brasil,630,Número de empresas,2021,2021,117029,18 Impressão e reprodução de gravações
1,Brasil,1020,Unidades,311,1,Brasil,630,Número de empresas,2021,2021,117030,18.1 Atividade de impressão
1,Brasil,1020,Unidades,70,1,Brasil,630,Número de empresas,2021,2021,117031,"18.11-3 Impressão de jornais, livros, revistas e outras publicações periódicas"
1,Brasil,1020,Unidades,12,1,Brasil,630,Número de empresas,2021,2021,117032,18.12-1 Impressão de material de segurança
1,Brasil,1020,Unidades,229,1,Brasil,630,Número de empresas,2021,2021,117033,18.13-0 Impressão de materiais para outros usos
1,Brasil,1020,Unidades,85,1,Brasil,630,Número de empresas,2021,2021,117034,18.2 Serviços de pré-impressão e acabamentos gráficos
1,Brasil,1020,Unidades,38,1,Brasil,630,Número de empresas,2021,2021,117035,18.21-1 Serviços de pré-impressão
1,Brasil,1020,Unidades,47,1,Brasil,630,Número de empresas,2021,2021,117036,18.22-9 Serviços de acabamentos gráficos
