ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2022;222575;Feminino;25 a 34;30;Médio completo;Conhece mais ou menos;Conhece mais ou menos;Regular;Ótima;Ótima;Boa;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222576;Feminino;25 a 34;34;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Boa;Regular;Regular;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222577;Masculino;25 a 34;25;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Boa;Boa;Boa;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222578;Feminino;16 a 24;20;Médio completo;Nunca ouviu falar;Conhece mais ou menos;nan;Ótima;nan;Boa;Interior;Trabalha;Até 1 SM;SE;0.398611872
2022;222579;Masculino;35 a 44;39;Médio completo;Conhece bem;Conhece bem;Boa;Ótima;Ótima;Ótima;Capital;Trabalha;Até 1 SM;SE;0.280917257
2022;222580;Masculino;35 a 44;35;Médio completo;Conhece só de ouvir falar;Conhece bem;Não sabe;Boa;Regular;Boa;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222581;Masculino;25 a 34;28;Médio completo;Conhece só de ouvir falar;Conhece bem;Ótima;Ótima;Boa;Boa;Capital;Trabalha;Até 1 SM;SE;0.280917257
2022;223300;Feminino;45 a 59;58;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223301;Masculino;25 a 34;34;Fund. 1 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Regular;Regular;Boa;Boa;Interior;Trabalha;NS/NR;SP;1.788414672
2022;223302;Masculino;60 ou mais;63;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Não sabe;nan;Boa;Interior;Trabalha;NS/NR;SP;1.788414672
2022;223303;Masculino;35 a 44;41;Fund. 2 completo;Conhece mais ou menos;Conhece só de ouvir falar;Boa;Boa;Ótima;Boa;Capital;Trabalha;NS/NR;SP;1.788414672
2022;223304;Feminino;35 a 44;42;Fund. 2 completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Ótima;Boa;Boa;Interior;Trabalha;NS/NR;SP;2.100982025
2022;223305;Feminino;35 a 44;42;Fund. 2 completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Boa;Boa;Boa;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223306;Feminino;45 a 59;45;Fund. 2 completo;Nunca ouviu falar;Conhece mais ou menos;nan;Boa;nan;Boa;Capital;Não trabalha;NS/NR;SP;2.100982025
2022;223307;Feminino;60 ou mais;66;Fund. 2 completo;Conhece bem;Conhece bem;Regular;Boa;Regular;Regular;Interior;Não trabalha;NS/NR;SP;2.100982025
2022;223308;Masculino;35 a 44;40;Fund. 2 completo;Conhece bem;Conhece bem;Ótima;Ótima;Ótima;Ótima;Capital;Trabalha;NS/NR;SP;1.788414672
2022;223309;Feminino;60 ou mais;61;Fund. 2 completo;Nunca ouviu falar;Conhece bem;nan;Regular;nan;Boa;Região metropolitana;Trabalha;NS/NR;SP;2.100982025
2022;223310;Masculino;16 a 24;24;Médio completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Capital;Trabalha;NS/NR;SP;1.788414672
2022;223311;Feminino;16 a 24;22;Médio completo;Conhece mais ou menos;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Capital;Trabalha;NS/NR;SP;2.100982025
2022;223312;Feminino;45 a 59;48;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Não sabe;Boa;Não sabe;Boa;Interior;Trabalha;NS/NR;SP;2.100982025
2022;223313;Feminino;25 a 34;32;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Não sabe;Boa;Boa;Boa;Interior;Trabalha;NS/NR;SP;2.100982025
